candidatenumber,examYear,Student OpenEMIS ID,secondary,primaryschool,sex,EnglishRawscore,MathRawScore,EnglishConvertedScore,MathconvertedScore,Totals,essay,StudentParish,AddressAreaCode
001001,2024,1534170077,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,82,61,112.41,103.46,215.87,C,ST. JAMES,SJ
001002,2024,1534170314,Alexandra Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,73,61,105.75,103.46,209.21,C,ST. JAMES,SJ
001003,2024,1534170289,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,53,11,90.95,76.37,167.32,B,ST. PETER,SP
001004,2024,1534170182,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,76,70,107.97,108.33,216.3,C,ST. PETER,SP
001005,2024,1534170149,St Leonard's Boys Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,52,12,90.21,76.91,167.12,D,ST. PETER,SP
001006,2024,1534170208,The Frederick Smith Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,24,19,69.49,80.7,150.19,E,ST. PETER,SP
001007,2024,1534170163,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,82,69,112.41,107.79,220.2,C,ST. PETER,SP
001008,2024,1534170071,The Frederick Smith Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,24,20,69.49,81.25,150.74,E,ST. JAMES,SJ
001009,2024,1537571463,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,M,53,56,90.95,100.75,191.7,C,ST. JAMES,SJ
001010,2024,1534170232,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,M,67,43,101.31,93.7,195.01,B,ST. LUCY,SL
001011,2024,1537571449,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,62,74,97.61,110.5,208.11,C,ST. JAMES,SJ
001012,2024,,The Frederick Smith Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,19,12,65.79,76.91,142.7,D,ST. JAMES,SJ
001013,2024,1534170209,St Leonard's Boys Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,43,23,83.55,82.87,166.42,E,ST. PETER,SP
001014,2024,1534170183,St Leonard's Boys Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,30,32,73.93,87.75,161.68,D,ST. JAMES,SJ
001015,2024,1534170250,The Frederick Smith Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,10,11,59.13,76.37,135.5,E,ST. JAMES,SJ
001016,2024,1534170366,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,80,50,110.93,97.5,208.43,B,ST. JAMES,SJ
001017,2024,1534170171,Queen's College,ST. ALBAN'S JUNIOR PRIMARY,M,91,98,119.07,123.5,242.57,A,ST. JAMES,SJ
001018,2024,1534170251,Combermere School,ST. ALBAN'S JUNIOR PRIMARY,M,78,90,109.45,119.17,228.62,B,ST. JAMES,SJ
001019,2024,1534170364,St Leonard's Boys Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,32,17,75.41,79.62,155.03,E,ST. JAMES,SJ
001020,2024,1538168379,Combermere School,ST. ALBAN'S JUNIOR PRIMARY,M,84,73,113.89,109.96,223.85,C,ST. LUCY,SL
001021,2024,1534170078,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,50,38,88.73,91,179.73,D,ST. JAMES,SJ
001022,2024,1534170365,St Leonard's Boys Secondary School,ST. ALBAN'S JUNIOR PRIMARY,M,33,23,76.15,82.87,159.02,D,ST. PETER,SP
001023,2024,1534170252,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,81,73,111.67,109.96,221.63,B,ST. JAMES,SJ
001024,2024,1534170315,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,78,67,109.45,106.71,216.16,B,ST. LUCY,SL
001025,2024,1534170328,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,M,74,65,106.49,105.62,212.11,C,ST. LUCY,SL
001026,2024,1534170150,The St Michael School,ST. ALBAN'S JUNIOR PRIMARY,M,82,85,112.41,116.46,228.87,C,ST. JAMES,SJ
001027,2024,1534170079,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,M,54,45,91.69,94.79,186.48,D,ST. JAMES,SJ
001028,2024,1534170280,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,73,57,105.75,101.29,207.04,B,ST. JAMES,SJ
001029,2024,1534170084,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,72,53,105.01,99.12,204.13,C,ST. JAMES,SJ
001030,2024,1534170184,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,72,72,105.01,109.41,214.42,C,ST. JAMES,SJ
001031,2024,1534170085,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,63,69,98.35,107.79,206.14,B,ST. JAMES,SJ
001032,2024,1534170361,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,76,57,107.97,101.29,209.26,B,ST. JAMES,SJ
001033,2024,1534170283,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,75,68,107.23,107.25,214.48,A,ST. PETER,SP
001034,2024,1534170230,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,75,25,107.23,83.95,191.18,C,ST. JAMES,SJ
001035,2024,1534170246,Combermere School,ST. ALBAN'S JUNIOR PRIMARY,F,82,94,112.41,121.33,233.74,B,ST. JAMES,SJ
001036,2024,1530216039,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,54,24,91.69,83.41,175.1,C,ST. LUCY,SL
001037,2024,1534170086,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,68,38,102.05,91,193.05,C,ST. PETER,SP
001038,2024,1534170185,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,77,55,108.71,100.21,208.92,B,ST. JAMES,SJ
001039,2024,1534170118,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,80,57,110.93,101.29,212.22,B,ST. JAMES,SJ
001040,2024,1534170327,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,61,46,96.87,95.33,192.2,C,ST. PETER,SP
001041,2024,1534170326,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,75,72,107.23,109.41,216.64,D,ST. JAMES,SJ
001042,2024,1534170288,The Frederick Smith Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,20,35,66.53,89.37,155.9,E,ST. JAMES,SJ
001043,2024,1543245050,Coleridge And Parry School,ST ALBAN'S JUNIOR PRIMARY,F,75,61,107.23,103.46,210.69,C,ST. LUCY,SL
001044,2024,1534170140,The Frederick Smith Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,43,11,83.55,76.37,159.92,D,ST. JAMES,SJ
001045,2024,1534170207,Christ Church Foundation School,ST. ALBAN'S JUNIOR PRIMARY,F,79,78,110.19,112.66,222.85,B,ST. JAMES,SJ
001046,2024,1558710356,Coleridge And Parry School,ST ALBAN'S JUNIOR PRIMARY,F,67,72,101.31,109.41,210.72,D,ST. JAMES,SJ
001047,2024,1534170113,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,74,81,106.49,114.29,220.78,B,ST. JAMES,SJ
001048,2024,1534170247,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,73,53,105.75,99.12,204.87,C,ST. JAMES,SJ
001049,2024,1534170114,Combermere School,ST. ALBAN'S JUNIOR PRIMARY,F,80,86,110.93,117,227.93,C,ST. JAMES,SJ
001050,2024,1534170399,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,71,69,104.27,107.79,212.06,C,ST. PETER,SP
001051,2024,1534170148,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,78,63,109.45,104.54,213.99,C,ST. MICHAEL,SM
