Parish,Sex,Total,Worked,With Job Not Working,Looked for work,Student,Retired,Incapacitated,Home Duties,Other (Please Specify),Not Stated
Barbados,Both Sexes,114784,55166,2570,8829,7490,22506,2369,6027,1774,8053
Barbados,Male,53745,27964,1298,4331,3450,9460,1142,1340,855,3905
Barbados,Female,61039,27202,1272,4498,4040,13046,1227,4687,919,4148
St. Michael,Both Sexes,36057,16532,1074,3491,2199,6534,891,1891,914,2531
St. Michael,Male,17125,8562,548,1777,955,2778,432,424,421,1228
St. Michael,Female,18932,7970,526,1714,1244,3756,459,1467,493,1303
Christ Church,Both Sexes,24224,11890,387,1701,1523,5231,382,1155,218,1737
Christ Church,Male,11113,6010,197,801,723,2101,165,187,113,816
Christ Church,Female,13111,5880,190,900,800,3130,217,968,105,921
St. George,Both Sexes,9496,4672,226,626,701,1708,226,507,55,775
St. George,Male,4413,2341,104,288,332,725,100,115,29,379
St. George,Female,5083,2331,122,338,369,983,126,392,26,396
St. Philip,Both Sexes,15739,7863,481,1098,1137,3144,293,680,154,889
St. Philip,Male,7258,3856,241,529,536,1325,146,133,72,420
St. Philip,Female,8481,4007,240,569,601,1819,147,547,82,469
St. John,Both Sexes,4591,2259,41,414,292,887,148,215,33,302
St. John,Male,2230,1184,21,223,140,383,73,43,22,141
St. John,Female,2361,1075,20,191,152,504,75,172,11,161
St. James,Both Sexes,7765,3478,83,423,531,1876,147,326,204,697
St. James,Male,3573,1695,49,214,244,779,74,76,99,343
St. James,Female,4192,1783,34,209,287,1097,73,250,105,354
St. Thomas,Both Sexes,4201,2206,62,202,293,673,73,269,55,368
St. Thomas,Male,1937,1082,31,109,128,276,41,70,26,174
St. Thomas,Female,2264,1124,31,93,165,397,32,199,29,194
St. Joseph,Both Sexes,1922,898,29,100,114,321,49,174,26,211
St. Joseph,Male,946,486,12,47,52,144,27,52,14,112
St. Joseph,Female,976,412,17,53,62,177,22,122,12,99
St. Andrew,Both Sexes,1653,728,22,119,92,303,33,222,15,119
St. Andrew,Male,804,379,13,49,44,131,12,94,11,71
St. Andrew,Female,849,349,9,70,48,172,21,128,4,48
St. Peter,Both Sexes,4964,2583,132,339,339,993,69,236,50,223
St. Peter,Male,2340,1302,66,153,170,431,34,45,19,120
St. Peter,Female,2624,1281,66,186,169,562,35,191,31,103
St. Lucy,Both Sexes,4172,2057,33,316,269,836,58,352,50,201
St. Lucy,Male,2006,1067,16,141,126,387,38,101,29,101
St. Lucy,Female,2166,990,17,175,143,449,20,251,21,100
